Fold,CV Accuracy,CV Precision,CV Recall,CV F1 Score,CV AUC,Model,Resampling Strategy
2.0,0.9254855464598857,0.8918056596710133,0.9685344294077349,0.928572890699529,0.9756335617663593,Random Forest,Oversampling
2.0,0.8723388734231875,0.8554361190879822,0.8962119011817358,0.8753291964416119,0.9399514361883934,Random Forest,SMOTE
2.0,0.8647473271899282,0.8493262423650914,0.8869774988572345,0.8676816670131904,0.9356071909636207,CatBoost,Oversampling
2.0,0.861714899937461,0.7794152606959818,0.43726708074534154,0.5600486831215618,0.8568407950911581,CatBoost,Original
2.0,0.8567142745465917,0.725604034267392,0.4658385093167702,0.5671183080859644,0.8464136895794356,LightGBM,Original
2.0,0.8547131019387116,0.7062779732961862,0.4782608695652174,0.5699837855867583,0.8417042991628876,Neural Network,Original
2.0,0.8533191538883222,0.8393727660389796,0.8741389431166308,0.8563173019564025,0.9273914934688602,XGBoost,Oversampling
2.0,0.8467114602876797,0.6709399857826485,0.4695652173913044,0.5522249642036077,0.8241751927550078,XGBoost,Original
2.0,0.8465869800232138,0.8377523406544789,0.8597339715662811,0.8485638399270433,0.9215479295498845,CatBoost,SMOTE
2.0,0.8433365384615386,0.6558522511434622,0.46770186335403724,0.5459035819198326,0.813868272375658,Random Forest,Original
2.0,0.8392297161967237,0.8290937290652878,0.8547261468401464,0.8416865493393848,0.9166015700270611,XGBoost,SMOTE
2.0,0.8182532332503392,0.8165911837646236,0.8209136486017821,0.8186895068765978,0.9042548188585723,LightGBM,SMOTE
2.0,0.8149659601444282,0.823260503184825,0.8022858984587067,0.8125929355374655,0.9068922157162357,LightGBM,Oversampling
2.0,0.8033026775569704,0.7958467885797387,0.8174663573540784,0.8058346652368173,0.8934688602657239,Neural Network,SMOTE
2.0,0.8024424783097366,0.7922831726300553,0.8210602166903798,0.8056698134981886,0.8888979158663493,Neural Network,Oversampling
2.0,0.7717391304347826,0.7848259726875673,0.7490683229813664,0.7662775082094361,0.8549380810925505,CatBoost,Undersampling
2.0,0.7599378881987577,0.7741740010471558,0.7341614906832297,0.7535013336082456,0.8399984568496585,LightGBM,Undersampling
2.0,0.7549689440993789,0.7717125176293905,0.7242236024844722,0.7470538091014742,0.8272578218432931,Random Forest,Undersampling
2.0,0.7409937888198759,0.7511310179283109,0.7211180124223602,0.7355874963257796,0.8153447012075151,XGBoost,Undersampling
2.0,0.7406832298136645,0.7450941865508668,0.7360248447204969,0.7387151266427348,0.8245418772423904,Neural Network,Undersampling
